infra_id,phase_reconstruction,duree_totale,cout_total
P000604,2,19.93128424256724,3737.1157954813575
P007580,2,42.15541374272025,7587.974473689645
P005500,2,26.2840698104142,6571.01745260355
P007991,2,37.544153087973996,6757.94755583532
P007997,2,150.6478858947565,27116.619461056172
P007572,2,11.25401583211958,2813.503958029895
P005500,2,26.2840698104142,6571.01745260355
P007991,2,37.544153087973996,6757.94755583532
P007997,2,150.6478858947565,27116.619461056172
P007476,2,24.642455996467948,4435.642079364231
P006712,2,62.781387714971004,11300.64978869478
P003802,2,25.0024039218976,6250.6009804744
P003870,2,12.96828541819764,3242.07135454941
P003881,2,10.96859065586668,2742.1476639666703
P003903,2,21.824986085466,5456.2465213665
P007478,2,51.609700154598,9676.818778987126
P005500,2,26.2840698104142,6571.01745260355
P007990,2,37.405722064311,9351.43051607775
P001391,2,38.1796822472991,6872.342804513838
P007752,2,6.25670284927724,1564.1757123193102
P005100,3,12.51951350613308,3129.87837653327
P000732,3,21.5742772172186,5393.56930430465
P008001,3,19.60362686493784,4900.90671623446
P000719,3,21.396318701628,5349.079675407001
P008003,3,33.9895798122914,8497.394953072851
P008004,3,21.339528418028003,3841.11511524504
P000494,3,9.68014026457464,2420.0350661436596
P008010,3,37.8782357367241,6818.0824326103375
P008014,3,55.3209327626452,10372.674892995974
P007695,3,21.924969121566747,3946.4944418820146
P005100,3,12.51951350613308,3129.87837653327
P000732,3,21.5742772172186,5393.56930430465
P008001,3,19.60362686493784,4900.90671623446
P000719,3,21.396318701628,5349.079675407001
P008005,3,16.80490373868074,4201.225934670185
P000723,3,26.3198844678838,6579.97111697095
P008008,3,68.2308344822758,17057.70862056895
P008022,3,69.6745145306364,17418.6286326591
P008026,3,48.0728176549936,9013.6533103113
P007607,3,15.2811321114661,3820.283027866525
P005100,3,12.51951350613308,3129.87837653327
P000732,3,21.5742772172186,5393.56930430465
P008001,3,19.60362686493784,4900.90671623446
P000719,3,21.396318701628,5349.079675407001
P008003,3,33.9895798122914,8497.394953072851
P008004,3,21.339528418028003,3841.11511524504
P000494,3,9.68014026457464,2420.0350661436596
P008010,3,37.8782357367241,6818.0824326103375
P008012,3,5.60865150972822,1402.162877432055
P008013,3,41.4379819423978,7458.836749631604
P000476,3,20.4242247894414,3676.360462099452
P008016,3,40.2169292904986,7239.0472722897475
P000470,3,5.14449891829192,1286.1247295729802
P000635,3,10.33288984546378,2583.222461365945
P007584,3,6.163278752942,1540.8196882355
P005100,3,12.51951350613308,3129.87837653327
P000732,3,21.5742772172186,5393.56930430465
P008001,3,19.60362686493784,4900.90671623446
P000719,3,21.396318701628,5349.079675407001
P008003,3,33.9895798122914,8497.394953072851
P008004,3,21.339528418028003,3841.11511524504
P000494,3,9.68014026457464,2420.0350661436596
P000750,3,27.1004196636685,4878.07553946033
P007727,3,12.6428221821139,3160.705545528475
P005100,3,12.51951350613308,3129.87837653327
P000732,3,21.5742772172186,5393.56930430465
P008001,3,19.60362686493784,4900.90671623446
P000719,3,21.396318701628,5349.079675407001
P008003,3,33.9895798122914,8497.394953072851
P008004,3,21.339528418028003,3841.11511524504
P000494,3,9.68014026457464,2420.0350661436596
P008010,3,37.8782357367241,6818.0824326103375
P008012,3,5.60865150972822,1402.162877432055
P008013,3,41.4379819423978,7458.836749631604
P000476,3,20.4242247894414,3676.360462099452
P008016,3,40.2169292904986,7239.0472722897475
P000470,3,5.14449891829192,1286.1247295729802
P008019,3,16.663666877413,3124.4375395149377
P000464,3,24.293765520616198,4372.877793710916
P000462,3,18.47388010412095,3325.298418741771
P008017,3,8.54452645097224,2136.13161274306
P000621,3,12.11029877653586,3027.574694133965
P007533,3,11.39358634441696,2136.29743957818
P005100,3,12.51951350613308,3129.87837653327
P000732,3,21.5742772172186,5393.56930430465
P008001,3,19.60362686493784,4900.90671623446
P000719,3,21.396318701628,5349.079675407001
P008003,3,33.9895798122914,8497.394953072851
P008004,3,21.339528418028003,3841.11511524504
P000494,3,9.68014026457464,2420.0350661436596
P008010,3,37.8782357367241,6818.0824326103375
P008012,3,5.60865150972822,1402.162877432055
P008013,3,41.4379819423978,7458.836749631604
P000476,3,20.4242247894414,3676.360462099452
P008016,3,40.2169292904986,7239.0472722897475
P000470,3,5.14449891829192,1286.1247295729802
P008019,3,16.663666877413,3124.4375395149377
P000464,3,24.293765520616198,4372.877793710916
P000462,3,18.47388010412095,3325.298418741771
P000627,3,24.54340842988215,4417.813517378787
P007645,3,6.07043860316378,1517.609650790945
